genus,species,specimen,habit,clade
Amphibolurus,muricatus,Amp_mur_AA66262,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66263,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66268,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66272,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66274,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66276,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66278,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66280,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66282,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66284,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66286,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66292,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66294,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66296,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66298,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66300,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66302,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66304,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66308,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66310,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AA66312,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR152446,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR152459,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR152464,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR154969,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR154972,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_AMSR171161,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_FMNH97700,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR21375,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR34730,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR35547,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR35548,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR43960,Semi-arboreal,X
Amphibolurus,muricatus,Amp_mur_SAMAR66958,Semi-arboreal,X
Chlamydosaurus,kingii,Chl_kin_FMNH51709,Arboreal,X
